from;to
no. 38283/18;no. 28940/95
no. 38283/18;no. 47287/15
no. 38283/18;no. 61411/15
no. 38283/18;no. 29226/03
no. 38283/18;no. 4634/04
no. 38283/18;no. 4494/07
no. 38283/18;no. 42883/11
no. 38283/18;no. 6095/11
no. 38283/18;no. 74091/11
no. 38283/18;no. 75583/11
no. 38283/18;no. 54381/08
no. 38283/18;no. 30194/09
no. 38283/18;no. 84543/17
no. 38283/18;no. 59135/09
no. 38283/18;no. 40900/05
no. 38283/18;no. 56825/13
no. 38283/18;no. 42906/12
no. 38283/18;no. 58444/15
no. 38283/18;no. 37553/05
no. 38283/18;no. 23086/08
no. 38283/18;no. 25196/04
no. 38283/18;no. 31349/20
no. 38283/18;no. 1162/22
no. 38283/18;no. 4048/09
no. 38283/18;no. 47848/08
no. 38283/18;no. 35553/12
no. 38283/18;no. 15367/14
no. 38283/18;no. 48694/10
no. 38283/18;no. 8080/08
no. 38283/18;no. 8577/08
no. 38283/18;no. 29580/12
no. 45401/15;no. 15367/14
no. 45401/15;no. 50841/99
no. 45401/15;no. 4870/02
no. 45401/15;no. 30582/04
no. 45401/15;no. 32152/04
no. 45401/15;no. 48694/10
no. 50763/22;no. 56928/19
no. 50763/22;no. 20641/05
no. 50763/22;no. 64119/00
no. 50763/22;no. 76292/01
no. 50763/22;no. 59001/08
no. 50763/22;no. 48135/08
no. 50763/22;no. 57462/19
no. 50763/22;no. 42393/98
no. 50763/22;no. 57383/00
no. 50763/22;no. 80450/17
no. 50763/22;no. 59433/18
no. 50763/22;no. 61435/19
no. 50763/22;no. 15472/02
no. 50763/22;no. 42393/98
no. 50763/22;no. 1813/07
no. 50763/22;no. 34503/97
no. 50763/22;no. 55789/19
no. 50763/22;no. 51194/19
no. 35834/22;no. 28114/95
no. 35834/22;no. 17526/10
no. 35834/22;no. 31684/05
no. 35834/22;no. 29580/12
no. 35834/22;no. 59433/18
no. 35834/22;no. 8029/07
no. 35834/22;no. 56896/17
no. 35834/22;no. 41462/17
no. 35834/22;no. 34367/14
no. 35834/22;no. 10346/05
no. 35834/22;no. 66828/16
no. 35834/22;no. 10443/12
no. 35834/22;no. 74552/01
no. 35834/22;no. 9106/06
no. 35834/22;no. 78117/13
no. 52977/19;no. 34503/97
no. 52977/19;no. 74989/01
no. 52977/19;no. 59433/18
no. 52977/19;no. 28602/95
no. 52977/19;no. 36701/09
no. 52977/19;no. 38190/97
no. 52977/19;no. 52562/99
no. 52977/19;no. 52620/99
no. 52977/19;no. 2330/09
no. 52977/19;no. 31045/10
no. 52977/19;no. 2451/16
no. 52977/19;no. 29582/0
no. 52977/19;no. 53574/99
no. 55789/19;no. 30946/04
no. 55789/19;no. 6615/03
no. 55789/19;no. 74611/01
no. 55789/19;no. 6615/03
no. 55789/19;no. 74611/01
no. 55789/19;no. 23018/04
no. 55789/19;no. 68959/01
no. 55789/19;no. 309461/04
no. 55789/19;no. 1305/05
no. 55789/19;no. 56237/08
no. 55789/19;no. 59433/18
no. 55789/19;no. 6615/03
no. 55789/19;no. 74611/01
no. 55789/19;no. 30946/04
no. 55789/19;no. 22943/04
no. 55789/19;no. 1305/05
no. 55789/19;no. 56237/08
no. 55789/19;no. 36807/07
no. 55789/19;no. 29764/09
no. 55789/19;no. 36297/09
no. 51194/19;no. 6615/03
no. 51194/19;no. 74611/01
no. 51194/19;no. 23018/04
no. 51194/19;no. 68959/01
no. 51194/19;no. 309461/04
no. 51194/19;no. 1305/05
no. 51194/19;no. 56237/08
no. 51194/19;no. 59433/18
no. 51194/19;no. 22943/04
no. 51194/19;no. 1305/05
no. 51194/19;no. 36807/07
no. 51194/19;no. 29764/09
no. 51194/19;no. 36297/09
no. 51194/19;no. 34503/97
no. 51194/19;no. 37685/10
no. 51194/19;no. 22768/12
no. 51194/19;no. 28342/95
no. 51194/19;no. 13279/05
no. 51194/19;no. 44698/06
no. 51194/19;no. 20153/04
no. 51194/19;no. 36815/03
no. 51194/19;no. 37537/13
no. 51194/19;no. 76943/11
no. 51194/19;no. 39544/05
no. 51194/19;no. 73049/01
no. 51194/19;no. 36366/06
no. 51194/19;no. 34796/09
no. 51194/19;no. 39005/04
no. 51194/19;no. 30687/05
no. 51194/19;no. 45630/05
